night_image,original_label,rematched_place_id,place_name,flow_step,valid_day_images,rematch_decision,notes
PXL_20260320_180138577.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Red wall ramp view from a different acceptable night viewpoint.
PXL_20260320_180149555.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Same red entry zone with similar ramp composition.
PXL_20260320_180151464.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Same red entry zone with slightly shifted camera position.
PXL_20260320_180154439.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Front portico / exterior column view within the same entry zone.
PXL_20260320_180156450.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Front portico / exterior columns with night lighting.
PXL_20260320_180200019.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Glass corner and ramp in the same red entry zone.
PXL_20260320_180202054.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Glass corner and red wall interior transition.
PXL_20260320_180209360.jpg,pxl_unmatched,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Interior doorway plus red wall transition back toward the atrium.
PXL_20260320_180255131.jpg,pxl_unmatched,P04,booth,4,"image021.jpg|image022.jpg|image023.jpg",matched_place_level,Booth seating area at the balcony edge.
PXL_20260320_180313688.jpg,pxl_unmatched,P04,booth,4,"image021.jpg|image022.jpg|image023.jpg",matched_place_level,Balcony walkway with booth and atrium railing.
PXL_20260320_180419441.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Red corridor with flags and lounge chairs.
PXL_20260320_180423996.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Same red corridor with slightly different framing.
PXL_20260320_180436908.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Red corridor with chairs and wall emblem.
PXL_20260320_180449128.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Window-side corridor view still in the same lounge zone.
PXL_20260320_180523909.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Very dark view but still same red corridor lounge zone.
PXL_20260320_180556165.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Dark interior return view from the same corridor sequence.
PXL_20260320_180602207.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Dark interior return view from the same corridor sequence.
PXL_20260320_180604535.jpg,pxl_unmatched,P06,reception,6,"image028.jpg|image029.jpg|image030.jpg|image031.jpg",matched_place_level,Dark interior return view from the same corridor sequence.
PXL_20260320_181233916.jpg,pxl_unmatched,P09,outdoor,9,"image041.jpg|image042.jpg|image043.jpg|image044.jpg|image045.jpg|image046.jpg|image047.jpg|image048.jpg",matched_place_level,Outdoor building-side path at night.
image001.jpg,matched_exact,P01,lobby,1,"image001.jpg|image002.jpg|image003.jpg|image004.jpg|image005.jpg|image006.jpg",matched_place_level,Central atrium frontal view.
image002.jpg,matched_exact,P01,lobby,1,"image001.jpg|image002.jpg|image003.jpg|image004.jpg|image005.jpg|image006.jpg",matched_place_level,Central atrium frontal view.
image003-npm.jpg,marked_npm,P01,lobby,1,"image001.jpg|image002.jpg|image003.jpg|image004.jpg|image005.jpg|image006.jpg",rematched_from_npm,Visually the same atrium lobby rather than a true no-match.
image004.jpg,matched_exact,P01,lobby,1,"image001.jpg|image002.jpg|image003.jpg|image004.jpg|image005.jpg|image006.jpg",matched_place_level,Atrium with pillar and flags.
image005.jpg,matched_exact,P01,lobby,1,"image001.jpg|image002.jpg|image003.jpg|image004.jpg|image005.jpg|image006.jpg",matched_place_level,Atrium side view with flags.
image006.jpg,matched_exact,P01,lobby,1,"image001.jpg|image002.jpg|image003.jpg|image004.jpg|image005.jpg|image006.jpg",matched_place_level,Atrium side view with doorway.
image007.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Transition from atrium into the red entry zone.
image008.jpg,matched_exact,P02,entrance,2,"image007.jpg|image008.jpg|image009.jpg|image010.jpg|image011.jpg|image012.jpg|image013.jpg|image014.jpg|image015.jpg|image016.jpg|image017.jpg|image018.jpg",matched_place_level,Red wall and ramp zone.
